p0,base_max_observations,comparison_max_observations,cutoff_label,cutoff_observations,states_compared,policy_disagreement_count,policy_disagreement_rate,product2_share_base,product2_share_comparison,mean_abs_q_gap_diff,max_abs_q_gap_diff,mean_abs_D_diff,max_abs_D_diff,initial_product_base,initial_product_comparison,initial_q_gap_base,initial_q_gap_comparison
0.65,100,200,all_common_states,100,5151,38,0.007377208309066201,0.3595418365365948,0.36264802950883324,0.037805265642221246,1.949424352361211,0.08572622594607986,4.420463384039024,2,2,5.714824554431214,5.685297806938365
0.65,100,200,safe_interior,90,4186,11,0.0026278069756330625,0.387482083134257,0.384854276158624,0.024757786676191194,0.5337001251158799,0.05614010584170328,1.2102043653421362,2,2,5.714824554431214,5.685297806938365
0.7,100,200,all_common_states,100,5151,42,0.008153756552125802,0.35430013589594256,0.3581828771112405,0.03121809376953891,1.883506679483073,0.07078932827559832,4.270990202909477,2,2,6.484741950379881,6.4547980303996475
0.7,100,200,safe_interior,90,4186,11,0.0026278069756330625,0.38270425226946964,0.3800764452938366,0.020952400778440013,0.37926490762912834,0.04751111287628105,0.8600111284107159,2,2,6.484741950379881,6.4547980303996475
0.75,100,200,all_common_states,100,5151,50,0.009706853038245,0.34498155697922733,0.35430013589594256,0.02150045754648879,1.7981856742000772,0.04875387198750285,4.077518535601076,2,2,6.483451891930315,6.458817248373485
0.75,100,200,safe_interior,90,4186,10,0.0023889154323936935,0.37338748208313427,0.3752986144290492,0.013965328651627315,0.28701996473593283,0.03166741190845183,0.6508389223036986,2,2,6.483451891930315,6.458817248373485
0.8,100,200,all_common_states,100,5151,113,0.0219374878664337,0.3211026985051446,0.34304018637157835,0.02425111074382435,1.6864527910786862,0.054991180824998584,3.8241559888405625,2,2,5.523540375003879,5.496598300438579
0.8,100,200,safe_interior,90,4186,51,0.012183468705207836,0.34663162924032487,0.35881509794553273,0.018056070336878748,0.32335944074736744,0.040943470151652506,0.7332413622389318,2,2,5.523540375003879,5.496598300438579
0.85,100,200,all_common_states,100,5151,66,0.0128130460104834,0.2780042710153368,0.29081731702582025,0.041990082794483026,1.5611554402736978,0.09521560724372587,3.540035011958505,2,2,4.12033987621643,4.110535779788828
0.85,100,200,safe_interior,90,4186,8,0.0019111323459149545,0.29789775441949357,0.2998088867654085,0.03299816297466606,0.603871515679252,0.07482576638246288,1.3693231648055644,2,2,4.12033987621643,4.110535779788828
0.9,100,200,all_common_states,100,5151,23,0.0044651523975927,0.21782178217821782,0.22228693457581053,0.04769930742091857,1.453998648228307,0.108161694832015,3.2970490889530595,2,2,2.788766431326562,2.7882768699008658
0.9,100,200,safe_interior,90,4186,0,0.0,0.22981366459627328,0.22981366459627328,0.036023656843845245,1.0474718630889157,0.08168629669806189,2.375219644192555,2,2,2.788766431326562,2.7882768699008658
